A̱o,Trimestre,Mbps (Media de bajada),Mbps Anterior,Tasa Crecimiento (%)
2014,2,3.335636032958513,3.2412844235010816,2.9109327392971314
2014,3,3.383872315354855,3.335636032958513,1.4460894989660875
2014,4,3.6384058443365066,3.383872315354855,7.521960205964795
2015,1,3.8766749854570217,3.6384058443365066,6.54872357055499
2015,2,4.037754751854762,3.8766749854570217,4.155101136979908
2015,3,4.210907667364233,4.037754751854762,4.288346523025755
2015,4,4.381456979142555,4.210907667364233,4.050179325947438
2016,1,4.460450883337127,4.381456979142555,1.8029140664992036
2016,2,4.62723300676262,4.460450883337127,3.739131486651722
2016,3,4.925072365876242,4.62723300676262,6.436662227260549
2016,4,5.13469350256577,4.925072365876242,4.256204195940437
2017,1,5.2733469585034,5.13469350256577,2.7003258494074927
2017,2,5.530352252075001,5.2733469585034,4.873665540955408
2017,3,6.048790448698156,5.530352252075001,9.374415462028418
2017,4,8.449452895248502,6.048790448698156,39.68830573502551
2018,1,9.043488352267149,8.449452895248502,7.03046060358179
2018,2,9.271806371683175,9.043488352267149,2.5246675897889332
2018,3,10.043622288499373,9.271806371683175,8.324331698442114
2018,4,10.604093281823626,10.043622288499373,5.580367094907888
2019,1,10.762038227717872,10.604093281823626,1.4894714870622379
2019,2,12.727170741880121,10.762038227717872,18.259854430743484
2019,3,14.8765812559756,12.727170741880121,16.888360796658546
2019,4,17.685900962071216,14.8765812559756,18.884175455077578
2020,1,20.18773063343111,17.685900962071216,14.145898909675342
2020,2,21.45477645306433,20.18773063343111,6.276316256840573
2020,3,23.140832114549486,21.45477645306433,7.858649402260917
2020,4,24.263884926222506,23.140832114549486,4.8531219884997805
2021,1,25.041744047227763,24.263884926222506,3.2058309020605664
2021,2,27.94933656246772,25.041744047227763,11.610982484911398
2021,3,29.443956456865337,27.94933656246772,5.347604194672346
2021,4,32.28754512235868,29.443956456865337,9.657630996904675
2022,1,34.71125,32.28754512235868,7.506624825319835
2022,2,37.295833333333334,34.71125,7.445952921123078
2022,3,39.6575,37.295833333333334,6.3322533795106635
2022,4,68.50208333333333,39.6575,72.73424530878985
2023,1,71.26083333333334,68.50208333333333,4.027249779507932
2023,2,76.04208333333334,71.26083333333334,6.70950615695859
2023,3,78.60958333333333,76.04208333333334,3.3764198552336637
2023,4,85.20833333333333,78.60958333333333,8.394332752049946
2024,1,86.03541666666666,85.20833333333333,0.9706601466992676
